customer_id,event_timestamp,event_type,event_value,label_churn_30d
CUST_00001,2025-06-06T13:57:55.067863Z,feature_x_used,1.1109913888381355,0
CUST_00001,2025-06-07T04:12:22.440220Z,feature_x_used,0.7764637040660677,0
CUST_00001,2025-06-08T17:09:14.094781Z,plan_upgrade,-18.0,0
CUST_00001,2025-06-12T02:31:28.502351Z,login,17.0,0
CUST_00001,2025-07-04T21:17:07.623109Z,feature_z_used,0.6167690829011655,0
CUST_00001,2025-07-06T12:32:23.579007Z,login,15.0,0
CUST_00001,2025-07-12T00:13:52.881205Z,support_ticket,1.0,0
CUST_00001,2025-07-14T23:22:27.768598Z,plan_upgrade,-11.0,0
CUST_00001,2025-07-21T00:49:30.959089Z,login,9.0,0
CUST_00001,2025-08-02T00:27:18.640849Z,login,13.0,0
CUST_00001,2025-09-06T05:28:48.726973Z,login,12.0,0
CUST_00001,2025-09-07T14:56:22.339715Z,login,1.0,0
CUST_00001,2025-09-26T09:21:28.236500Z,feature_x_used,1.8137006697323428,0
CUST_00001,2025-09-28T01:38:30.710474Z,page_view,17.0,0
CUST_00001,2025-10-03T12:58:03.998939Z,feature_x_used,2.1655123357790353,0
CUST_00001,2025-10-04T13:14:29.160919Z,support_ticket,4.0,0
CUST_00001,2025-10-05T03:32:51.208254Z,page_view,5.0,0
CUST_00001,2025-10-07T21:05:36.173711Z,page_view,12.0,0
CUST_00001,2025-10-09T19:43:34.711997Z,feature_x_used,1.1052673353946234,0
CUST_00001,2025-10-30T04:44:02.933782Z,feature_y_used,1.32036455510146,0
CUST_00001,2025-11-10T03:54:53.340225Z,feature_x_used,2.195111355325902,0
CUST_00002,2025-05-26T09:23:08.123702Z,feature_y_used,0.3873041002654459,0
CUST_00002,2025-07-22T17:13:58.464341Z,feature_z_used,0.6189020344813755,0
CUST_00002,2025-08-11T15:58:54.445455Z,feature_y_used,-0.022364131502410345,0
CUST_00002,2025-09-10T01:52:40.917386Z,plan_upgrade,-7.0,0
CUST_00002,2025-09-30T08:02:57.625486Z,page_view,9.0,0
CUST_00002,2025-10-16T23:03:27.238182Z,login,3.0,0
CUST_00002,2025-10-26T12:20:50.320954Z,page_view,18.0,0
CUST_00002,2025-11-02T07:20:49.958724Z,plan_upgrade,-19.0,0
CUST_00002,2025-11-13T03:38:17.649750Z,page_view,13.0,0
CUST_00003,2025-06-23T02:26:30.627497Z,page_view,11.0,0
CUST_00003,2025-06-26T06:31:19.374160Z,plan_upgrade,4.0,0
CUST_00003,2025-06-27T11:35:14.989612Z,login,11.0,0
CUST_00003,2025-07-08T01:29:51.189839Z,feature_x_used,0.5773397675112157,0
CUST_00003,2025-07-08T20:02:27.194128Z,page_view,4.0,0
